,,,,,,,,,,,
,AMG Inventory list,,,,,,,,,,
,Highlight items to reorder?,,Yes,,,,,,,,
,,,,,,,,,,,
 ,Inventory ID,Name,Description,Quantity in stock,Reorder level,Expiration Date,Quantity in reorder,Expired?,Location,Manufacturer,Notes
,IN0179,Head/Bar Drape level 3,,9,,NA,,no,Storage room,,
,IN0180,High temperature cautery,,5,,NA,,no,Storage room,,
Reorder,IN0171,huber needles ,,,,,,,,,
,IN0214,Hydrogen Peroxid ,,8,,11/10/27,,no,Rooms,,
,IN0165,hydrogen peroxide,,12,,11/10/27,,no,closet storage,,
,IN0144,Hypafix tape ,,4,,NA,,,Rooms,,
,IN0274,Instant Cold Compress ,,38,,7/1/26,,no,Rooms + Storage Room,,
,IN0113,insulin needles ,,200,,NA,,no,rooms and storage room ,,
,IN0127,Kerlix ,,15,,,,no,Rooms,,
,IN0150,L Gloves,,8,,NA,,no,Rooms,,
,IN0270,Lipo Foam BLF Black universal ,Garment,26,,,,,,,
,IN0194,Luer Lock Disposable Syring without needle,,3,,,,,Storage room,,Each box has 40
,IN0151,lysol ,,4,,NA,,no,Rooms,,
,IN0149,M Gloves,,7,,NA,,no,Rooms,,
,IN0148,masks ,,6,,NA,,no,rooms and storage room ,,
,IN0139,mastusol,,4,,,,no,Rooms,,
,IN0146,maxi pads,,14,,NA,,no,closet storage,,
,IN0183,"Mayo stand cover, Reinforced (24X53 in)",,23,,NA,,no,Storage room,,
,IN0250,Mens Body style MB size large ,Garment,2,,,,,,,Don't Reorder
,IN0249,Mens Body style MB size medium ,Garment,5,,,,,,,Don't Reorder
,IN0251,Mens Body style MB size X-large ,Garment,5,,,,,,,sleevless body suit
,IN0252,Mens Body style MB/SS size large ,Garment,6,,,,,,,Short sleeve body suit 
,IN0245,Mens top style MCV/SS Size large ,Garment,2,,,,,,,Short sleeve-High neckline
,IN0246,Mens top style MCV/SS size X-large ,Garment,1,,,,,,,Short sleeve-High neckline
,IN0247,Mens top Style MHV/SS size large ,Garment,1,,,,,,,Vest with low neckline 
,IN0248,Mens top style MV/SS size large ,Garment,5,,,,,,,short sleeve low neckline 
,IN0249,Mens top style MV/SS size medium ,Garment ,4,,,,,,,
,IN0245,Mens top style MV/ss size small ,Garment,2,,,,,,,
,IN0244,Mens Top Style UV/CP size large ,Garment,1,,,,,,,
,IN0134,micropore tape,,20,,,,no,rooms and storage room ,,Each box Q 24
,IN0196,Micropors,,20,,NA,,no,Storage room,,Each box has 24
,IN0262,Moldeate Fajas Size S/32 ,Garment,1,,,,,,,
,IN0132,Mupirocin ,ointment,10,,NA,,no,rooms and storage room ,,
,IN0254,Neck & Chin  style FM100-C size large,Garment,2,,,,,,,"face mask, full neck "
,IN0253,Neck & Chin  style FM100-C size medium ,Garment,2,,,,,,,"face mask, full neck "
,IN0255,Neck &Chin style FM100-C size X-large,Garment,2,,,,,,,"face mask, full neck "
,IN0256,Neck& Chin style FM100-13 size small,Garment,2,,,,,,,mid- neck coverage
,,"NDL, Ultrasound, 22GX4",,1,,,,,25 EA,,
,IN0177,Non-Adherent PAD,,1,,NA,,no,Storage room,,3X4 each box= 100
,IN0277,Non-Adherent pad ,,1,,NA,,,Storage room ,,
,IN0198,OR Towels 17X27,,22,,NA,,no,Storage room,,
,IN0189,Paper measuring tape ,,6,,NA,,no,Storage room,,Each has 100
,IN0135,paper tape,,4,,NA,,no,Storage room,,
,IN0182,Probe cover kit 10.2X121.9,,45,,NA,,no,Storage room,,
,IN0279,"Prolene Suture 3-0 27"" ",,1,,NA,,no,Closet storage ,,
,IN0278,"Prolene Suture 5-0 18""",,1,,NA,,no,closet storage ,,
,IN0128,Q tips ,,400,100,,,no,Rooms,,
,IN0175,Razors ,,50,,NA,,no,Storage room,,
,IN0280,Round Drain ,,13,,,,,closet storage ,,
,IN0164,rubbing alcohol,,1,,,5,,,,Some in the room
,IN0162,Saline ,,16,,12/14/26,,,Rooms,,
,IN0141,silver nitrate ,,6,,NA,2,no,Rooms + 2 in storage room ,,
,IN0133,silver sulfadazine,cream ,16,,NA,,no,rooms and storage room ,,
,IN0201,Sirus Surgical Gown XL ,,12,,NA,,no,Storage room,,
Reorder,IN0136,Small cloth tape ,,0,,,,,,,
,IN0155,small guase,,40,,NA,,no,Rooms,,Each box has 200
,IN0210,Sodum Chloride ,,6,,2/1/27,,no,Rooms ,,
,IN0211,Sodum Chloride ,,1,,8/1/26,,no,Rooms ,,
,IN0184,"Split  Drape with Adhesive 77"" (196 cm)",,3,,NA,,no,Storage room,,
,IN0140,stapler remover kit,,4,,NA,,no,Rooms,,
,IN0143,steristrips ,,33,,1/31/28,,no,Rooms,,
,IN0107,surgical pens,surgical marking pen ,30,,1/5/27,,no,Rooms,,
,IN0108,Surgical pens w measurements ,,16,,NA,,no,Room,,
,IN0204,surgical skin marker ,,60,,10/31/25,,no,storage room,,
,IN0170,tegaderm large,,4,,6/24/26,,no,Storage room,,Each box has 25
,IN0169,tegaderm med,,1,,6/24/26,,no,Storage room,,Each box 100 -25
Reorder,IN0168,Tegaderm small,,0,,,,,,,
,IN0110,tounge depressers,,80,,NA,,no,Rooms,,
,IN0111,Tounge depressors sterile ,,200,,NA,,no,Rooms + storage room ,,200 pieses
,IN0271,Towel/ Drap 18X26,,36,,,,no,Rooms,,
